code,price
80207-02-0820,1461
80207-02-0920,1498
80207-02-1020,1538
80207-03-0820,1461
80207-03-0920,1498
80207-03-1020,1538
80207-06-0820,1461
80207-06-0920,1498
80207-06-1020,1538
80207-08-0820,1461
80207-08-0920,1498
80207-08-1020,1538
80207-22-0820,1461
80207-22-0920,1498
80207-22-1020,1538
80207-28-0820,1461
80207-28-0920,1498
80207-28-1020,1538
80207y-02-1220,1888
80207y-03-1220,1888
80207y-06-1220,1888
80207y-08-1220,1888
80207y-22-1220,1888
80207y-28-1220,1888
80208-02-0820,1328
80208-02-0920,1368
80208-02-1020,1408
80208-02-1220,1788
80208-02-1420,1994
80208-02-1620,2103
80208-03-0820,1328
80208-03-0920,1368
80208-03-1020,1408
80208-03-1220,1788
80208-03-1420,1994
80208-03-1620,2103
80208-06-0820,1328
80208-06-0920,1368
80208-06-1020,1408
80208-06-1220,1788
80208-06-1420,1994
80208-06-1620,2103
80208-08-0820,1328
80208-08-0920,1368
80208-08-1020,1408
80208-08-1220,1788
80208-08-1420,1994
80208-08-1620,2103
80208-22-0820,1328
80208-22-0920,1368
80208-22-1020,1408
80208-22-1220,1788
80208-22-1420,1994
80208-22-1620,2103
80208-28-0820,1328
80208-28-0920,1368
80208-28-1020,1408
80208-28-1220,1788
80208-28-1420,1994
80208-28-1620,2103
80209-1-0820,2126
80209-1-0920,2127
80209-1-1020,2173
80209-1-1220,2383
80209-1-1420,2452
80209-1-1620,2500
80209-1-1820,2606
80209-1-2020,2698
80209-2-0820,2182
80209-2-0920,2182
80209-2-1020,2229
80209-2-1220,2442
80209-2-1420,2517
80209-2-1620,2567
80209-2-1820,2680
80209-2-2020,2778
80209-3-0820,2274
80209-3-0920,2275
80209-3-1020,2325
80209-3-1220,2542
80209-3-1420,2624
80209-3-1620,2679
80209-3-1820,2801
80209-3-2020,2909
80209-4-0820,2348
80209-4-0920,2349
80209-4-1020,2400
80209-4-1220,2622
80209-4-1420,2709
80209-4-1620,2769
80209-4-1820,2899
80209-4-2020,3013
80209-5-0820,2532
80209-5-0920,2533
80209-5-1020,2589
80209-5-1220,2821
80209-5-1420,2923
80209-5-1620,2993
80209-5-1820,3143
80209-5-2020,3277
80209-6-0820,2580
80209-6-0920,2581
80209-6-1020,2640
80209-6-1220,2874
80209-6-1420,2981
80209-6-1620,3053
80209-6-1820,3209
80209-6-2020,3347
80209-D-1-0820,2337
80209-D-1-0920,2338
80209-D-1-1020,2437
80209-D-1-1220,2700
80209-D-1-1420,2821
80209-D-1-1620,2869
80209-D-1-1820,2975
80209-D-1-2020,3082
80209-D-2-0820,2393
80209-D-2-0920,2394
80209-D-2-1020,2493
