code,price
TWINFLEX-K-080200,363
TWINFLEX-K-090200,363
TWINFLEX-K-100200,378
TWINFLEX-KF-080200,512
TWINFLEX-KF-090200,512
TWINFLEX-KF-100200,533
TWINFLEX-NV-080200,290
TWINFLEX-NV-090200,290
TWINFLEX-NV-100200,304
TWINPACK-ST-080200,243
TWINPACK-ST-080210,267
TWINPACK-ST-080220,290
TWINPACK-ST-090200,243
TWINPACK-ST-090210,267
TWINPACK-ST-090220,290
TWINPACK-ST-100200,273
TWINPACK-ST-100210,299
TWINPACK-ST-100220,326
TWINPACK-ST-120200,422
TWINPACK-ST-120210,464
TWINPACK-ST-120220,505
TWINPACK-ST-140200,425
TWINPACK-ST-140210,466
TWINPACK-ST-140220,507
TWINPACK-ST-160200,439
TWINPACK-ST-160210,482
TWINPACK-ST-160220,525
TWINPACK-ST-180200,469
TWINPACK-ST-180210,515
TWINPACK-ST-180220,561
TWINPACK-ST-200200,499
TWINPACK-ST-200210,547
TWINPACK-ST-200220,596
TYTAN-H2-AS-080200,1297
TYTAN-H2-AS-090200,1393
TYTAN-H2-AS-100200,1489
TYTAN-H2-AS-120200,1951
TYTAN-H2-AS-140200,2034
TYTAN-H2-AS-160200,2305
TYTAN-H2-AS-180200,2574
TYTAN-H2-AS-200200,2857
TYTAN-H2-AV-080200,1297
TYTAN-H2-AV-080200,1297
TYTAN-H2-AV-090200,1393
TYTAN-H2-AV-090200,1393
TYTAN-H2-AV-100200,1489
TYTAN-H2-AV-100200,1489
TYTAN-H2-AV-120200,1951
TYTAN-H2-AV-120200,1951
TYTAN-H2-AV-140200,2034
TYTAN-H2-AV-140200,2034
TYTAN-H2-AV-160200,2305
TYTAN-H2-AV-160200,2305
TYTAN-H2-AV-180200,2574
TYTAN-H2-AV-180200,2574
TYTAN-H2-AV-200200,2857
TYTAN-H2-AV-200200,2857
TYTAN-H2-AX-080200,1297
TYTAN-H2-AX-090200,1393
TYTAN-H2-AX-100200,1489
TYTAN-H2-AX-120200,1951
TYTAN-H2-AX-140200,2034
TYTAN-H2-AX-160200,2305
TYTAN-H2-AX-180200,2574
TYTAN-H2-AX-200200,2857
TYTAN-H2-BL-080200,1916
TYTAN-H2-BL-090200,2015
TYTAN-H2-BL-100200,2115
TYTAN-H2-BL-120200,2641
TYTAN-H2-BL-140200,2733
TYTAN-H2-BL-160200,3081
TYTAN-H2-BL-180200,3380
TYTAN-H2-BL-200200,3695
TYTAN-H2-CN-080200,1570
TYTAN-H2-CN-090200,1671
TYTAN-H2-CN-100200,1771
TYTAN-H2-CN-120200,2250
TYTAN-H2-CN-140200,2344
TYTAN-H2-CN-160200,2626
TYTAN-H2-CN-180200,2912
TYTAN-H2-CN-200200,3217
TYTAN-H2-CR-080200,1297
TYTAN-H2-CR-090200,1393
TYTAN-H2-CR-100200,1489
TYTAN-H2-CR-120200,1951
TYTAN-H2-CR-140200,2034
TYTAN-H2-CR-160200,2305
TYTAN-H2-CR-180200,2574
TYTAN-H2-CR-200200,2857
TYTAN-H2-CRO-080200,1570
TYTAN-H2-CRO-090200,1671
TYTAN-H2-CRO-100200,1771
TYTAN-H2-CRO-120200,2250
TYTAN-H2-CRO-140200,2344
TYTAN-H2-CRO-160200,2626
TYTAN-H2-CRO-180200,2912
TYTAN-H2-CRO-200200,3217
TYTAN-H2-CS-080200,1297
