code,price
4ELEM-H2-AS-080200,2645
4ELEM-H2-AS-090200,2786
4ELEM-H2-AS-100200,2989
4ELEM-H2-AS-120200,3938
4ELEM-H2-AS-140200,4063
4ELEM-H2-AS-160200,4635
4ELEM-H2-AS-180200,5175
4ELEM-H2-AS-200200,5737
4ELEM-H2-AV-080200,2645
4ELEM-H2-AV-080200,2645
4ELEM-H2-AV-090200,2786
4ELEM-H2-AV-090200,2786
4ELEM-H2-AV-100200,2989
4ELEM-H2-AV-100200,2989
4ELEM-H2-AV-120200,3938
4ELEM-H2-AV-120200,3938
4ELEM-H2-AV-140200,4063
4ELEM-H2-AV-140200,4063
4ELEM-H2-AV-160200,4635
4ELEM-H2-AV-160200,4635
4ELEM-H2-AV-180200,5175
4ELEM-H2-AV-180200,5175
4ELEM-H2-AV-200200,5737
4ELEM-H2-AV-200200,5737
4ELEM-H2-AX-080200,2645
4ELEM-H2-AX-090200,2786
4ELEM-H2-AX-100200,2989
4ELEM-H2-AX-120200,3938
4ELEM-H2-AX-140200,4063
4ELEM-H2-AX-160200,4635
4ELEM-H2-AX-180200,5175
4ELEM-H2-AX-200200,5737
4ELEM-H2-BL-080200,3396
4ELEM-H2-BL-090200,3540
4ELEM-H2-BL-100200,3751
4ELEM-H2-BL-120200,4772
4ELEM-H2-BL-140200,4910
4ELEM-H2-BL-160200,5577
4ELEM-H2-BL-180200,6151
4ELEM-H2-BL-200200,6743
4ELEM-H2-CN-080200,2959
4ELEM-H2-CN-090200,3103
4ELEM-H2-CN-100200,3314
4ELEM-H2-CN-120200,4282
4ELEM-H2-CN-140200,4421
4ELEM-H2-CN-160200,5004
4ELEM-H2-CN-180200,5566
4ELEM-H2-CN-200200,6147
4ELEM-H2-CR-080200,2645
4ELEM-H2-CR-090200,2786
4ELEM-H2-CR-100200,2989
4ELEM-H2-CR-120200,3938
4ELEM-H2-CR-140200,4063
4ELEM-H2-CR-160200,4635
4ELEM-H2-CR-180200,5175
4ELEM-H2-CR-200200,5737
4ELEM-H2-CRO-080200,2959
4ELEM-H2-CRO-090200,3103
4ELEM-H2-CRO-100200,3314
4ELEM-H2-CRO-120200,4282
4ELEM-H2-CRO-140200,4421
4ELEM-H2-CRO-160200,5004
4ELEM-H2-CRO-180200,5566
4ELEM-H2-CRO-200200,6147
4ELEM-H2-CS-080200,2645
4ELEM-H2-CS-090200,2786
4ELEM-H2-CS-100200,2989
4ELEM-H2-CS-120200,3938
4ELEM-H2-CS-140200,4063
4ELEM-H2-CS-160200,4635
4ELEM-H2-CS-180200,5175
4ELEM-H2-CS-200200,5737
4ELEM-H2-CX-080200,2645
4ELEM-H2-CX-090200,2786
4ELEM-H2-CX-100200,2989
4ELEM-H2-CX-120200,3938
4ELEM-H2-CX-140200,4063
4ELEM-H2-CX-160200,4635
4ELEM-H2-CX-180200,5175
4ELEM-H2-CX-200200,5737
4ELEM-H2-HM-080200,2645
4ELEM-H2-HM-090200,2786
4ELEM-H2-HM-100200,2989
4ELEM-H2-HM-120200,3938
4ELEM-H2-HM-140200,4063
4ELEM-H2-HM-160200,4635
4ELEM-H2-HM-180200,5175
4ELEM-H2-HM-200200,5737
4ELEM-H2-IM-080200,2645
4ELEM-H2-IM-090200,2786
4ELEM-H2-IM-100200,2989
4ELEM-H2-IM-120200,3938
4ELEM-H2-IM-140200,4063
4ELEM-H2-IM-160200,4635
4ELEM-H2-IM-180200,5175
4ELEM-H2-IM-200200,5737
4ELEM-H2-IT-080200,2645
4ELEM-H2-IT-090200,2786
4ELEM-H2-IT-100200,2989
4ELEM-H2-IT-120200,3938
4ELEM-H2-IT-140200,4063
4ELEM-H2-IT-160200,4635
4ELEM-H2-IT-180200,5175
4ELEM-H2-IT-200200,5737
4ELEM-H2-JE-080200,4664
4ELEM-H2-JE-090200,4951
4ELEM-H2-JE-100200,5302
4ELEM-H2-JE-120200,6601
4ELEM-H2-JE-140200,7029
4ELEM-H2-JE-160200,7910
4ELEM-H2-JE-180200,8835
4ELEM-H2-JE-200200,9793
4ELEM-H2-KA-080200,2645
4ELEM-H2-KA-080200,2645
4ELEM-H2-KA-090200,2786
4ELEM-H2-KA-090200,2786
4ELEM-H2-KA-100200,2989
4ELEM-H2-KA-100200,2989
4ELEM-H2-KA-120200,3938
4ELEM-H2-KA-120200,3938
4ELEM-H2-KA-140200,4063
4ELEM-H2-KA-140200,4063
4ELEM-H2-KA-160200,4635
4ELEM-H2-KA-160200,4635
4ELEM-H2-KA-180200,5175
4ELEM-H2-KA-180200,5175
4ELEM-H2-KA-200200,5737
4ELEM-H2-KA-200200,5737
4ELEM-H2-LNB-080200,2645
4ELEM-H2-LNB-090200,2786
4ELEM-H2-LNB-100200,2989
4ELEM-H2-LNB-120200,3938
4ELEM-H2-LNB-140200,4063
4ELEM-H2-LNB-160200,4635
4ELEM-H2-LNB-180200,5175
4ELEM-H2-LNB-200200,5737
4ELEM-H2-LNP-080200,2645
4ELEM-H2-LNP-090200,2786
4ELEM-H2-LNP-100200,2989
4ELEM-H2-LNP-120200,3938
4ELEM-H2-LNP-140200,4063
4ELEM-H2-LNP-160200,4635
4ELEM-H2-LNP-180200,5175
4ELEM-H2-LNP-200200,5737
4ELEM-H2-LNS-080200,2959
4ELEM-H2-LNS-090200,3103
4ELEM-H2-LNS-100200,3314
4ELEM-H2-LNS-120200,4282
4ELEM-H2-LNS-140200,4421
4ELEM-H2-LNS-160200,5004
4ELEM-H2-LNS-180200,5566
4ELEM-H2-LNS-200200,6147
4ELEM-H2-MI-080200,2959
4ELEM-H2-MI-090200,3103
4ELEM-H2-MI-100200,3314
4ELEM-H2-MI-120200,4282
4ELEM-H2-MI-140200,4421
4ELEM-H2-MI-160200,5004
4ELEM-H2-MI-180200,5566
4ELEM-H2-MI-200200,6147
